,Member,Party Name,Constituency
26,"Baghel, Shri Vijay",Bharatiya Janata Party,Durg (Chhattisgarh)
27,"Baheria, Shri Subhash Chandra",Bharatiya Janata Party,Bhilwara (Rajasthan)
28,"Baij, Shri Deepak",Indian National Congress,Bastar (ST)(Chhattisgarh)
29,"Balyan, Dr. Sanjeev Kumar",Bharatiya Janata Party,Muzaffarnagar (Uttar Pradesh)
30,"Bandi, Shri Sanjay Kumar",Bharatiya Janata Party,Karimnagar (Telangana)
31,"Bandyopadhyay, Shri Sudip",All India Trinamool Congress,Kolkata Uttar (West Bengal)
32,"Banerjee, Shri Abhishek",All India Trinamool Congress,Diamond Harbour (West Bengal)
33,"Banerjee, Shri Kalyan",All India Trinamool Congress,Serampore (West Bengal)
34,"Banerjee, Shri Prasun",All India Trinamool Congress,Howrah (West Bengal)
35,"Bapat, Shri Girish Bhalchandra",Bharatiya Janata Party,Pune (Maharashtra)
36,"Barla, Shri John",Bharatiya Janata Party,Alipurduars (ST)(West Bengal)
37,"Barne, Shri Shrirang Appa",Shiv Sena,Maval (Maharashtra)
38,"Barq, Shri Shafiqur Rahman",Samajwadi Party,Sambhal (Uttar Pradesh)
39,"Baruah, Shri Pradan",Bharatiya Janata Party,Lakhimpur (Assam)
40,"Basavaraj, Shri Gangasandra Siddappa",Bharatiya Janata Party,Tumkur (Karnataka)
41,"Basheer, Shri E. T. Mohammed",Indian Union Muslim League,Ponnani (Kerala)
42,"Beesetti , Dr. Venkata Satyavathi",Yuvajana Sramika Rythu Congress Party,Anakapalle (Andhra Pradesh)
43,"Bellana, Shri Chandra Sekhar",Yuvajana Sramika Rythu Congress Party,Vizianagaram (Andhra Pradesh)
44,"Beniwal, Shri Hanuman",Rashtriya Loktantrik Party,Nagaur (Rajasthan)
45,"Benny, Shri Behanan",Indian National Congress,Chalakudy (Kerala)
46,"Bey, Shri Horen Sing",Bharatiya Janata Party,Autonomous District (ST)(Assam)
47,"Bhabhor, Shri Jaswantsinh Sumanbhai",Bharatiya Janata Party,Dahod (ST)(Gujarat)
48,"Bhagat, Shri Sudarshan",Bharatiya Janata Party,Lohardaga (ST)(Jharkhand)
49,"Bhagirath Choudhary, Shri",Bharatiya Janata Party,Ajmer (Rajasthan)
50,"Bhamre, Dr. Subhash Ramrao",Bharatiya Janata Party,Dhule (Maharashtra)
51,"Bhargava, Shri Ramakant",Bharatiya Janata Party,Vidisha (Madhya Pradesh)
52,"Bhatia, Shri Sanjay",Bharatiya Janata Party,Karnal (Haryana)
53,"Bhatt, Shri Ajay",Bharatiya Janata Party,Nainital-Udhamsingh Nagar (Uttarakhand)
54,"Bhatt, Smt. Ranjanben Dhananjay",Bharatiya Janata Party,Vadodara (Gujarat)
55,"Bhavana Gawali (Patil), Ms.",Shiv Sena,Yavatmal-Washim (Maharashtra)
56,"Bholanath (B.P. Saroj), Shri",Bharatiya Janata Party,Machhlishahr (SC)(Uttar Pradesh)
57,"Bhoumik, Km. Pratima",Bharatiya Janata Party,Tripura West (Tripura)
58,"Bidhuri, Shri Ramesh",Bharatiya Janata Party,South Delhi (NCT of Delhi)
59,"Bind, Dr. Ramesh Chand",Bharatiya Janata Party,Bhadohi (Uttar Pradesh)
60,"Birla, Shri Om",Bharatiya Janata Party,Kota (Rajasthan)
61,"Bisen, Dr. Dhal Singh",Bharatiya Janata Party,Balaghat (Madhya Pradesh)
62,"Bisoyi, Smt. Pramila",Biju Janata Dal,Aska (Odisha)
63,"Bista, Shri Raju",Bharatiya Janata Party,Darjeeling (West Bengal)
64,"Bohra, Shri Ramcharan",Bharatiya Janata Party,Jaipur (Rajasthan)
65,"Bordoloi, Shri Pradyut",Indian National Congress,Nawgong (Assam)
